relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;origin;connection_epoch
7852;1787244161973;1502;Akkuinformationen;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
8261;1787244162382;1505;BikePerformance / Fahrleistung;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
8471;1787244162592;1506;Trip / Kilometer & Betriebszähler;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;00-00-1B-ED-00-02-2D-6E-00-00-02-CA-00-00-00-00;NOTIFICATION;1
8887;1787244163008;1508;Settings / Licht & Fahrstufe;17;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
9097;1787244163218;1509;BatteryChange / Akku-Livestand;11;1;0,1,2,3,4,5,6,7,8,9,10;00-00-FF-FF-36-BC-AC-00-00-00-00;NOTIFICATION;1
9308;1787244163429;150A;MotorUpdate / Motor-Livestand;10;1;0,1,2,3,4,5,6,7,8,9;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
9720;1787244163841;150B;Motor-/Controllerblock;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
9929;1787244164050;150D;Fahrstatistik Max/Ø;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
11184;1787244165305;1502;Akkuinformationen;16;2;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
11600;1787244165721;1505;BikePerformance / Fahrleistung;18;2;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
11809;1787244165930;1506;Trip / Kilometer & Betriebszähler;16;2;–;00-00-1B-ED-00-02-2D-6E-00-00-02-CA-00-00-00-00;NOTIFICATION;1
12229;1787244166350;1508;Settings / Licht & Fahrstufe;17;2;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
12429;1787244166550;1509;BatteryChange / Akku-Livestand;11;2;–;00-00-FF-FF-36-BC-AC-00-00-00-00;NOTIFICATION;1
12639;1787244166760;150A;MotorUpdate / Motor-Livestand;10;2;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
12849;1787244166970;150B;Motor-/Controllerblock;20;2;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
13061;1787244167182;150D;Fahrstatistik Max/Ø;20;2;–;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
14102;1787244168223;1502;Akkuinformationen;16;3;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
14519;1787244168640;1505;BikePerformance / Fahrleistung;18;3;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
14728;1787244168849;1506;Trip / Kilometer & Betriebszähler;16;3;–;00-00-1B-ED-00-02-2D-6E-00-00-02-CA-00-00-00-00;NOTIFICATION;1
15141;1787244169262;1508;Settings / Licht & Fahrstufe;17;3;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
15353;1787244169474;1509;BatteryChange / Akku-Livestand;11;3;–;00-00-FF-FF-36-BC-AC-00-00-00-00;NOTIFICATION;1
15556;1787244169677;150A;MotorUpdate / Motor-Livestand;10;3;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
15772;1787244169893;150B;Motor-/Controllerblock;20;3;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
15979;1787244170100;150D;Fahrstatistik Max/Ø;20;3;–;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
17019;1787244171140;1502;Akkuinformationen;16;4;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
17439;1787244171560;1505;BikePerformance / Fahrleistung;18;4;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
17650;1787244171771;1506;Trip / Kilometer & Betriebszähler;16;4;–;00-00-1B-ED-00-02-2D-6E-00-00-02-CA-00-00-00-00;NOTIFICATION;1
18060;1787244172181;1508;Settings / Licht & Fahrstufe;17;4;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
18269;1787244172390;1509;BatteryChange / Akku-Livestand;11;4;–;00-00-FF-FF-36-BC-AC-00-00-00-00;NOTIFICATION;1
18478;1787244172599;150A;MotorUpdate / Motor-Livestand;10;4;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
18689;1787244172810;150B;Motor-/Controllerblock;20;4;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
18897;1787244173018;150D;Fahrstatistik Max/Ø;20;4;–;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
19938;1787244174059;1502;Akkuinformationen;16;5;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
20358;1787244174479;1505;BikePerformance / Fahrleistung;18;5;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
20571;1787244174692;1506;Trip / Kilometer & Betriebszähler;16;5;–;00-00-1B-ED-00-02-2D-6E-00-00-02-CA-00-00-00-00;NOTIFICATION;1
20980;1787244175101;1508;Settings / Licht & Fahrstufe;17;5;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
21192;1787244175313;1509;BatteryChange / Akku-Livestand;11;5;–;00-00-FF-FF-36-BC-AC-00-00-00-00;NOTIFICATION;1
21399;1787244175520;150A;MotorUpdate / Motor-Livestand;10;5;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
21608;1787244175729;150B;Motor-/Controllerblock;20;5;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
21824;1787244175945;150D;Fahrstatistik Max/Ø;20;5;–;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
22860;1787244176981;1502;Akkuinformationen;16;6;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
