relative_ms;timestamp_ms;speed_kmh_candidate;battery_percent;voltage_v;current_a;power_w;electrical_power_w;power_provenance;motor_temp_c;battery_temp_c;trip_km;odometer_km;drive_raw_1505_b7;motor_load_raw_be;battery_state_raw_1509_b6;accessory_raw_b0;accessory_raw_b3;source_channel
8603;1787501241784;;;;;;;;;;;;;;;;;1502
9234;1787501242415;0.0;;;;;;;;;;;0;;;;;1505
9442;1787501242623;0.0;;;;;;;;;;724.3;0;;;;;1506
9865;1787501243046;0.0;;;;;;;;;;724.3;0;;;0;1;1508
10062;1787501243243;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;0;1;1509
10271;1787501243452;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;150A
10483;1787501243664;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;150B
10693;1787501243874;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;150D
11733;1787501244914;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1502
12154;1787501245335;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1505
12362;1787501245543;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1506
12781;1787501245962;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1508
12984;1787501246165;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;0;1;1509
13194;1787501246375;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;150A
13403;1787501246584;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;150B
13611;1787501246792;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;150D
14651;1787501247832;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1502
15072;1787501248253;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1505
15282;1787501248463;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1506
15692;1787501248873;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1508
15903;1787501249084;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;1;1;1509
16117;1787501249298;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;150A
16324;1787501249505;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;150B
16533;1787501249714;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;150D
17575;1787501250756;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1502
17991;1787501251172;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1505
18203;1787501251384;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1506
18613;1787501251794;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1508
18826;1787501252007;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;1;1;1509
19035;1787501252216;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;150A
19244;1787501252425;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;150B
19452;1787501252633;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;150D
20492;1787501253673;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1502
20914;1787501254095;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1505
21111;1787501254292;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1506
21534;1787501254715;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1508
21745;1787501254926;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;1;1;1509
21953;1787501255134;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;150A
22163;1787501255344;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;150B
22373;1787501255554;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;150D
23414;1787501256595;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1502
23838;1787501257019;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1505
24032;1787501257213;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1506
24455;1787501257636;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1508
24662;1787501257843;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;1;1;1509
24872;1787501258053;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;150A
25083;1787501258264;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;150B
25292;1787501258473;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;150D
26333;1787501259514;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1502
26744;1787501259925;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1505
26952;1787501260133;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;1;1;1506
27375;1787501260556;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1508
27582;1787501260763;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;0;1;1509
27794;1787501260975;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;150A
28002;1787501261183;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;150B
28204;1787501261385;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;150D
29254;1787501262435;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1502
29662;1787501262843;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1505
29874;1787501263055;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1506
30294;1787501263475;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1508
30503;1787501263684;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;0;1;1509
30713;1787501263894;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;150A
30923;1787501264104;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;150B
31122;1787501264303;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;150D
32172;1787501265353;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1502
32584;1787501265765;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1505
32793;1787501265974;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;1;1506
33213;1787501266394;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1508
33427;1787501266608;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;0;2;1509
33634;1787501266815;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150A
33833;1787501267014;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150B
34042;1787501267223;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150D
35092;1787501268273;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1502
35503;1787501268684;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1505
35713;1787501268894;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1506
36134;1787501269315;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1508
36345;1787501269526;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;0;2;1509
36542;1787501269723;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150A
36751;1787501269932;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150B
36962;1787501270143;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150D
38004;1787501271185;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1502
38422;1787501271603;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1505
38632;1787501271813;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1506
39052;1787501272233;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1508
39262;1787501272443;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;0;2;1509
39462;1787501272643;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150A
39673;1787501272854;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150B
39882;1787501273063;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150D
40922;1787501274103;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1502
41343;1787501274524;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1505
41551;1787501274732;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1506
41973;1787501275154;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1508
42172;1787501275353;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;0;2;1509
42382;1787501275563;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150A
42591;1787501275772;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150B
42802;1787501275983;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150D
43844;1787501277025;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1502
44260;1787501277441;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1505
44480;1787501277661;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1506
45093;1787501278274;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1508
45303;1787501278484;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;0;2;1509
45513;1787501278694;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150A
45722;1787501278903;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150B
45931;1787501279112;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150D
46973;1787501280154;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1502
47393;1787501280574;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1505
47603;1787501280784;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1506
48012;1787501281193;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1508
48222;1787501281403;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;0;2;1509
48432;1787501281613;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150A
48641;1787501281822;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150B
48851;1787501282032;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150D
49891;1787501283072;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1502
50311;1787501283492;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1505
50524;1787501283705;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1506
50932;1787501284113;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1508
51143;1787501284324;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;0;2;1509
51352;1787501284533;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150A
51561;1787501284742;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150B
51772;1787501284953;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150D
52811;1787501285992;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1502
53233;1787501286414;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1505
53445;1787501286626;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1506
53852;1787501287033;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1508
54062;1787501287243;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;0;2;1509
54274;1787501287455;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150A
54481;1787501287662;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150B
54694;1787501287875;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150D
55733;1787501288914;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1502
56153;1787501289334;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1505
56361;1787501289542;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1506
56776;1787501289957;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1508
56985;1787501290166;0.0;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;0;0;;0;2;1509
57192;1787501290373;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150A
57403;1787501290584;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150B
57615;1787501290796;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;150D
58656;1787501291837;0.0;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;0;0;;0;2;1502
59074;1787501292255;0.4;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;4;0;;0;2;1505
59283;1787501292464;0.4;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;4;0;;0;2;1506
59696;1787501292877;0.4;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;4;0;;0;2;1508
59907;1787501293088;0.4;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;4;0;;0;2;1509
60114;1787501293295;0.4;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;4;0;;0;2;150A
60321;1787501293502;0.4;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;4;0;;0;2;150B
60531;1787501293712;0.4;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;4;0;;0;2;150D
61574;1787501294755;0.4;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;4;0;;0;2;1502
61993;1787501295174;2.7;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;27;0;;0;2;1505
62203;1787501295384;2.7;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;27;0;;0;2;1506
62613;1787501295794;2.7;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;27;0;;0;2;1508
62823;1787501296004;2.7;32;46.3;0.0;0.0;0.0;1509_direct;;;;724.3;27;0;;0;2;1509
63033;1787501296214;2.7;32;46.3;0.0;0.0;0.0;1509_direct_carried;;;;724.3;27;0;;0;2;150A
