relative_ms;timestamp_ms;speed_kmh_candidate;battery_percent;voltage_v;current_a;power_w;motor_temp_c;battery_temp_c;trip_km;odometer_km;drive_raw_1505_b7;motor_load_raw_be;battery_state_raw_1509_b6;accessory_raw_b0;accessory_raw_b3;source_channel
2085;1786821168987;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;2A00
2738;1786821169640;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;2A01
3389;1786821170291;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;2A02
4042;1786821170944;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;2A04
4056;1786821170958;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1502
4474;1786821171376;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1505
4683;1786821171585;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1506
4706;1786821171608;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;2A28
5102;1786821172004;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1508
5316;1786821172218;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1509
5347;1786821172249;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1501
5518;1786821172420;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150A
5731;1786821172633;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150B
5934;1786821172836;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150D
6001;1786821172903;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1502
6663;1786821173565;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1503
6981;1786821173883;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1502
7317;1786821174219;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1504
7398;1786821174300;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1505
7612;1786821174514;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1506
7982;1786821174884;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1505
8024;1786821174926;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1508
8228;1786821175130;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1509
8444;1786821175346;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150A
8632;1786821175534;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1506
8644;1786821175546;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150B
8859;1786821175761;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150D
9284;1786821176186;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1507
9905;1786821176807;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1502
9937;1786821176839;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1508
10322;1786821177224;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1505
10525;1786821177427;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1506
10590;1786821177492;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1509
10940;1786821177842;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1508
11154;1786821178056;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;1509
11253;1786821178155;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;150A
11359;1786821178261;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;150A
11570;1786821178472;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;150B
11784;1786821178686;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;150D
11906;1786821178808;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;150B
12558;1786821179460;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;150C
12818;1786821179720;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;1502
13211;1786821180113;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;150D
13233;1786821180135;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;1505
13451;1786821180353;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;1506
13864;1786821180766;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;150E
13865;1786821180767;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;1508
14069;1786821180971;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1509
14281;1786821181183;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150A
14499;1786821181401;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150B
14528;1786821181430;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150F
14699;1786821181601;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150D
15169;1786821182071;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1510
15745;1786821182647;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1502
15821;1786821182723;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1511
16161;1786821183063;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1505
16364;1786821183266;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1506
16495;1786821183397;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1512
16791;1786821183693;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1508
16992;1786821183894;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;1509
17151;1786821184053;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;1513
17206;1786821184108;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;150A
17408;1786821184310;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;150B
17623;1786821184525;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;150D
17801;1786821184703;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;151C
18455;1786821185357;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;1802
18658;1786821185560;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;1502
19108;1786821186010;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;0203
19290;1786821186192;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;1505
19515;1786821186417;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;1506
19918;1786821186820;0.0;75;50.7;0.0;0.0;;;;708.1;0;0;;0;2;1508
20122;1786821187024;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1509
20336;1786821187238;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150A
20539;1786821187441;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150B
20750;1786821187652;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150D
21797;1786821188699;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1502
22213;1786821189115;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1505
22416;1786821189318;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1506
22834;1786821189736;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1508
23046;1786821189948;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;1509
23253;1786821190155;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;150A
23404;1786821190306;0.0;75;50.6;0.0;0.0;;;;708.1;0;0;;0;2;2A05
