relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;payload_sha256;public_redaction
17623;1786821184525;150D;Zweite Fahrstatistik;20;6;–;00-DA-00-78-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
17801;1786821184703;151C;Unbekannter Kanal;10;1;0,1,2,3,4,5,6,7,8,9;FF-00-00-00-00-00-00-00-00-00;;
18455;1786821185357;1802;Unbekannter Kanal;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;;161660a64e88a397a33d90c876888717a0e1f7735754b0fbec20ad3d762038ba;identity_or_free_form
18658;1786821185560;1502;Akkuinformationen;16;7;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
19108;1786821186010;0203;Unbekannter Kanal;1;1;0;00;;
19290;1786821186192;1505;BikePerformance / Fahrleistung;18;7;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
19515;1786821186417;1506;Trip / Kilometer & Betriebszähler;16;7;–;00-00-1B-A9-00-02-25-6D-00-00-02-C4-00-00-00-00;;
19918;1786821186820;1508;Settings / Licht & Fahrstufe;17;7;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
20122;1786821187024;1509;BatteryChange / Akku-Livestand;11;7;5,6;00-00-FF-FF-4B-C5-A8-00-00-00-00;;
20336;1786821187238;150A;MotorUpdate / Motor-Livestand;10;7;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
20539;1786821187441;150B;Motor-/Controllerblock;20;7;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
20750;1786821187652;150D;Zweite Fahrstatistik;20;7;–;00-DA-00-78-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
21797;1786821188699;1502;Akkuinformationen;16;8;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
22213;1786821189115;1505;BikePerformance / Fahrleistung;18;8;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
22416;1786821189318;1506;Trip / Kilometer & Betriebszähler;16;8;–;00-00-1B-A9-00-02-25-6D-00-00-02-C4-00-00-00-00;;
22834;1786821189736;1508;Settings / Licht & Fahrstufe;17;8;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
23046;1786821189948;1509;BatteryChange / Akku-Livestand;11;8;–;00-00-FF-FF-4B-C5-A8-00-00-00-00;;
23253;1786821190155;150A;MotorUpdate / Motor-Livestand;10;8;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
23404;1786821190306;2A05;Unbekannter Kanal;4;1;0,1,2,3;00-00-00-00;;
23462;1786821190364;150B;Motor-/Controllerblock;20;8;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
23676;1786821190578;150D;Zweite Fahrstatistik;20;8;–;00-DA-00-78-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
24068;1786821190970;2A00;Unbekannter Kanal;24;2;–;;76e372406e5a71538c6e4894bba3797f594705e594733a2bb81339ed5e7403a8;identity_or_free_form
24709;1786821191611;1502;Akkuinformationen;16;9;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
24720;1786821191622;2A01;Unbekannter Kanal;2;2;–;00-00;;
25127;1786821192029;1505;BikePerformance / Fahrleistung;18;9;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
25350;1786821192252;1506;Trip / Kilometer & Betriebszähler;16;9;–;00-00-1B-A9-00-02-25-6D-00-00-02-C4-00-00-00-00;;
25361;1786821192263;2A02;Unbekannter Kanal;2;2;–;00-00;;
25770;1786821192672;1508;Settings / Licht & Fahrstufe;17;9;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
25960;1786821192862;1509;BatteryChange / Akku-Livestand;11;9;–;00-00-FF-FF-4B-C5-A8-00-00-00-00;;
26014;1786821192916;2A04;Unbekannter Kanal;8;2;–;14-00-28-00-00-00-E8-03;;
26174;1786821193076;150A;MotorUpdate / Motor-Livestand;10;9;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
26388;1786821193290;150B;Motor-/Controllerblock;20;9;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
26589;1786821193491;150D;Zweite Fahrstatistik;20;9;–;00-DA-00-78-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
26667;1786821193569;2A28;Unbekannter Kanal;10;2;–;;065d10ab6f3c497c3209251b654ac005a7f67238063fbfcf96d99fbc93d910b5;identity_or_free_form
27320;1786821194222;1501;Fahrzeuginformationen;18;2;–;01-02-FF-FF-FF-FF-00-FF-FF-0A-00-00-00-03-00-00-00-00;;
27637;1786821194539;1502;Akkuinformationen;16;10;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
27983;1786821194885;1502;Akkuinformationen;16;11;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
28052;1786821194954;1505;BikePerformance / Fahrleistung;18;10;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
28266;1786821195168;1506;Trip / Kilometer & Betriebszähler;16;10;–;00-00-1B-A9-00-02-25-6D-00-00-02-C4-00-00-00-00;;
28636;1786821195538;1503;Motor-/Controllerinformationen;2;2;–;00-00;;
28680;1786821195582;1508;Settings / Licht & Fahrstufe;17;10;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
