relative_ms;timestamp_ms;speed_kmh_candidate;battery_percent_raw;battery_percent_stable;battery_stability;voltage_v;current_a;power_w;electrical_power_w;power_provenance;motor_temp_c;battery_temp_c;trip_km;odometer_km;speed_raw_1505_u16be_b6_b7;motor_load_raw_be;light_state_1508_b0;ride_mode_1508_b3;start_mode_1508_b11;source_channel
64;1787849076126;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1506
484;1787849076546;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1508
695;1787849076757;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct;;;0.0;731.9;0;0;0;1;0;1509
906;1787849076968;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150A
1114;1787849077176;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150B
1326;1787849077388;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150D
2366;1787849078428;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1502
2785;1787849078847;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1505
2996;1787849079058;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1506
3413;1787849079475;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1508
3614;1787849079676;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct;;;0.0;731.9;0;0;0;1;0;1509
3823;1787849079885;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150A
4036;1787849080098;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150B
4245;1787849080307;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150D
5298;1787849081360;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1502
5708;1787849081770;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1505
5917;1787849081979;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1506
6336;1787849082398;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1508
6544;1787849082606;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct;;;0.0;731.9;0;0;0;1;0;1509
6754;1787849082816;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150A
6964;1787849083026;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150B
7178;1787849083240;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150D
8216;1787849084278;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1502
8634;1787849084696;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1505
8848;1787849084910;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1506
9254;1787849085316;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1508
9464;1787849085526;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct;;;0.0;731.9;0;0;0;1;0;1509
9675;1787849085737;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150A
9884;1787849085946;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150B
10095;1787849086157;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150D
11138;1787849087200;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1502
11558;1787849087620;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1505
11769;1787849087831;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1506
12185;1787849088247;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1508
12394;1787849088456;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct;;;0.0;731.9;0;0;0;1;0;1509
12604;1787849088666;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150A
12804;1787849088866;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150B
13015;1787849089077;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150D
14064;1787849090126;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1502
14484;1787849090546;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1505
14684;1787849090746;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1506
15105;1787849091167;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1508
15319;1787849091381;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct;;;0.0;731.9;0;0;0;1;0;1509
15529;1787849091591;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150A
15734;1787849091796;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150B
15946;1787849092008;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150D
16988;1787849093050;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1502
17407;1787849093469;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1505
17616;1787849093678;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1506
18038;1787849094100;0.0;81;81;STABLE;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1508
18238;1787849094300;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct;;;0.0;731.9;0;0;0;1;0;1509
18448;1787849094510;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150A
18659;1787849094721;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150B
18864;1787849094926;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150D
19920;1787849095982;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1502
20330;1787849096392;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1505
20533;1787849096595;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1506
20958;1787849097020;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;1508
21167;1787849097229;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct;;;0.0;731.9;0;0;0;1;0;1509
21379;1787849097441;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150A
21587;1787849097649;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150B
21797;1787849097859;0.0;81;81;WAITING_FOR_REST;51.1;0.0;0.0;0.0;1509_direct_carried;;;0.0;731.9;0;0;0;1;0;150D
