relative_ms;timestamp_ms;speed_kmh_candidate;battery_percent;voltage_v;current_a;power_w;motor_temp_c;battery_temp_c;trip_km;odometer_km;drive_raw_1505_b7;motor_load_raw_be;battery_state_raw_1509_b6;accessory_raw_b0;accessory_raw_b3;source_channel
2156;1786898765869;;;;;;;;;;;;;;;1502
2212;1786898765925;0.0;;;;;;;;;0;;;;;1505
2245;1786898765958;0.0;;;;;;;;708.3;0;;;;;1506
2302;1786898766015;0.0;;;;;;;;708.3;0;;;0;2;1508
2335;1786898766048;0.0;74;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1509
2358;1786898766071;0.0;74;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150A
2392;1786898766105;0.0;74;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150B
2425;1786898766138;0.0;74;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150D
7762;1786898771475;0.0;74;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1502
8175;1786898771888;0.0;74;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1505
8378;1786898772091;0.0;74;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1506
8806;1786898772519;0.0;74;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1508
9007;1786898772720;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1509
9221;1786898772934;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150A
9425;1786898773138;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150B
9637;1786898773350;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150D
10672;1786898774385;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1502
11100;1786898774813;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1505
11304;1786898775017;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1506
11722;1786898775435;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1508
11935;1786898775648;0.0;75;50.6;0.0;0.0;;;;708.3;0;0;;0;2;1509
12137;1786898775850;0.0;75;50.6;0.0;0.0;;;;708.3;0;0;;0;2;150A
12349;1786898776062;0.0;75;50.6;0.0;0.0;;;;708.3;0;0;;0;2;150B
12552;1786898776265;0.0;75;50.6;0.0;0.0;;;;708.3;0;0;;0;2;150D
13597;1786898777310;0.0;75;50.6;0.0;0.0;;;;708.3;0;0;;0;2;1502
14013;1786898777726;0.0;75;50.6;0.0;0.0;;;;708.3;0;0;;0;2;1505
14239;1786898777952;0.0;75;50.6;0.0;0.0;;;;708.3;0;0;;0;2;1506
14642;1786898778355;0.0;75;50.6;0.0;0.0;;;;708.3;0;0;;0;2;1508
14846;1786898778559;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1509
15059;1786898778772;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150A
15263;1786898778976;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150B
15479;1786898779192;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150D
16522;1786898780235;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1502
16940;1786898780653;0.1;75;50.5;0.0;0.0;;;;708.3;1;0;;0;2;1505
17140;1786898780853;0.1;75;50.5;0.0;0.0;;;;708.3;1;0;;0;2;1506
17559;1786898781272;0.1;75;50.5;0.0;0.0;;;;708.3;1;0;;0;2;1508
17771;1786898781484;0.1;75;50.5;0.0;0.0;;;;708.3;1;0;;0;2;1509
17975;1786898781688;0.1;75;50.5;0.0;0.0;;;;708.3;1;0;;0;2;150A
18187;1786898781900;0.1;75;50.5;0.0;0.0;;;;708.3;1;0;;0;2;150B
18393;1786898782106;0.1;75;50.5;0.0;0.0;;;;708.3;1;0;;0;2;150D
19437;1786898783150;0.1;75;50.5;0.0;0.0;;;;708.3;1;0;;0;2;1502
19852;1786898783565;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1505
20067;1786898783780;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1506
20482;1786898784195;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1508
20684;1786898784397;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1509
20900;1786898784613;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150A
21112;1786898784825;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150B
21315;1786898785028;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150D
22563;1786898786276;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1502
22982;1786898786695;0.4;75;50.5;0.0;0.0;;;;708.3;4;0;;0;2;1505
23194;1786898786907;0.4;75;50.5;0.0;0.0;;;;708.3;4;0;;0;2;1506
23611;1786898787324;0.4;75;50.5;0.0;0.0;;;;708.3;4;0;;0;2;1508
23812;1786898787525;0.4;75;50.5;0.0;0.0;;;;708.3;4;0;;0;2;1509
24027;1786898787740;0.4;75;50.5;0.0;0.0;;;;708.3;4;0;;0;2;150A
24241;1786898787954;0.4;75;50.5;0.0;0.0;;;;708.3;4;0;;0;2;150B
24445;1786898788158;0.4;75;50.5;0.0;0.0;;;;708.3;4;0;;0;2;150D
25489;1786898789202;0.4;75;50.5;0.0;0.0;;;;708.3;4;0;;0;2;1502
25904;1786898789617;0.5;75;50.5;0.0;0.0;;;;708.3;5;0;;0;2;1505
26119;1786898789832;0.5;75;50.5;0.0;0.0;;;;708.3;5;0;;0;2;1506
26534;1786898790247;0.5;75;50.5;0.0;0.0;;;;708.3;5;0;;0;2;1508
26738;1786898790451;0.5;75;50.5;0.0;0.0;;;;708.3;5;0;;0;2;1509
26951;1786898790664;0.5;75;50.5;0.0;0.0;;;;708.3;5;0;;0;2;150A
27153;1786898790866;0.5;75;50.5;0.0;0.0;;;;708.3;5;0;;0;2;150B
27369;1786898791082;0.5;75;50.5;0.0;0.0;;;;708.3;5;0;;0;2;150D
28402;1786898792115;0.5;75;50.5;0.0;0.0;;;;708.3;5;0;;0;2;1502
28829;1786898792542;1.1;75;50.5;0.0;0.0;;;;708.3;11;0;;0;2;1505
29031;1786898792744;1.1;75;50.5;0.0;0.0;;;;708.3;11;0;;0;2;1506
29449;1786898793162;1.1;75;50.5;0.0;0.0;;;;708.3;11;0;;0;2;1508
29662;1786898793375;1.1;75;50.6;0.0;0.0;;;;708.3;11;0;;0;2;1509
29865;1786898793578;1.1;75;50.6;0.0;0.0;;;;708.3;11;0;;0;2;150A
30080;1786898793793;1.1;75;50.6;0.0;0.0;;;;708.3;11;0;;0;2;150B
30281;1786898793994;1.1;75;50.6;0.0;0.0;;;;708.3;11;0;;0;2;150D
31330;1786898795043;1.1;75;50.6;0.0;0.0;;;;708.3;11;0;;0;2;1502
31745;1786898795458;0.0;75;50.6;0.0;0.0;;;;708.3;0;0;;0;2;1505
31959;1786898795672;0.0;75;50.6;0.0;0.0;;;;708.3;0;0;;0;2;1506
32377;1786898796090;0.0;75;50.6;0.0;0.0;;;;708.3;0;0;;0;2;1508
32578;1786898796291;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1509
32790;1786898796503;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150A
32995;1786898796708;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150B
33206;1786898796919;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150D
34257;1786898797970;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1502
34672;1786898798385;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1505
34875;1786898798588;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1506
35289;1786898799002;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1508
35501;1786898799214;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1509
35705;1786898799418;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150A
35921;1786898799634;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150B
36135;1786898799848;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150D
37167;1786898800880;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1502
37607;1786898801320;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1505
37796;1786898801509;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1506
38212;1786898801925;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1508
38415;1786898802128;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1509
38628;1786898802341;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150A
38844;1786898802557;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150B
39044;1786898802757;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150D
40091;1786898803804;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1502
40507;1786898804220;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1505
40721;1786898804434;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1506
41137;1786898804850;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1508
41340;1786898805053;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1509
41554;1786898805267;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150A
41760;1786898805473;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150B
41970;1786898805683;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150D
43004;1786898806717;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1502
43432;1786898807145;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1505
43634;1786898807347;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1506
44052;1786898807765;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1508
44264;1786898807977;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1509
44478;1786898808191;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150A
44682;1786898808395;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150B
44883;1786898808596;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150D
45931;1786898809644;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1502
46348;1786898810061;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1505
46561;1786898810274;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1506
46976;1786898810689;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1508
47179;1786898810892;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1509
47395;1786898811108;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150A
47594;1786898811307;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150B
47811;1786898811524;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150D
48855;1786898812568;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1502
49271;1786898812984;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1505
49473;1786898813186;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1506
49890;1786898813603;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1508
50104;1786898813817;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1509
50305;1786898814018;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150A
50522;1786898814235;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150B
50733;1786898814446;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150D
51768;1786898815481;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1502
52186;1786898815899;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1505
52400;1786898816113;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1506
52817;1786898816530;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1508
53029;1786898816742;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1509
53231;1786898816944;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150A
53445;1786898817158;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150B
53649;1786898817362;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;150D
54693;1786898818406;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1502
55109;1786898818822;0.0;75;50.5;0.0;0.0;;;;708.3;0;0;;0;2;1505
