relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex
8378;1786898772091;1506;Trip / Kilometer & Betriebszähler;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;00-00-1B-AB-00-02-25-B0-00-00-02-C4-00-00-00-00
8806;1786898772519;1508;Settings / Licht & Fahrstufe;17;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
9007;1786898772720;1509;BatteryChange / Akku-Livestand;11;1;0,1,2,3,4,5,6,7,8,9,10;00-00-FF-FF-4B-C5-44-00-00-00-00
9221;1786898772934;150A;MotorUpdate / Motor-Livestand;10;1;0,1,2,3,4,5,6,7,8,9;00-00-FF-FF-FF-FF-FF-FF-FF-FF
9425;1786898773138;150B;Motor-/Controllerblock;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
9637;1786898773350;150D;Fahrstatistik Max/Ø;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
10672;1786898774385;1502;Akkuinformationen;16;2;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
11100;1786898774813;1505;BikePerformance / Fahrleistung;18;2;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
11304;1786898775017;1506;Trip / Kilometer & Betriebszähler;16;2;–;00-00-1B-AB-00-02-25-B0-00-00-02-C4-00-00-00-00
11722;1786898775435;1508;Settings / Licht & Fahrstufe;17;2;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
11935;1786898775648;1509;BatteryChange / Akku-Livestand;11;2;6;00-00-FF-FF-4B-C5-A8-00-00-00-00
12137;1786898775850;150A;MotorUpdate / Motor-Livestand;10;2;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
12349;1786898776062;150B;Motor-/Controllerblock;20;2;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
12552;1786898776265;150D;Fahrstatistik Max/Ø;20;2;1;00-08-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
13597;1786898777310;1502;Akkuinformationen;16;3;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
14013;1786898777726;1505;BikePerformance / Fahrleistung;18;3;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
14239;1786898777952;1506;Trip / Kilometer & Betriebszähler;16;3;7;00-00-1B-AB-00-02-25-B1-00-00-02-C4-00-00-00-00
14642;1786898778355;1508;Settings / Licht & Fahrstufe;17;3;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
14846;1786898778559;1509;BatteryChange / Akku-Livestand;11;3;6;00-00-FF-FF-4B-C5-44-00-00-00-00
15059;1786898778772;150A;MotorUpdate / Motor-Livestand;10;3;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
15263;1786898778976;150B;Motor-/Controllerblock;20;3;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
15479;1786898779192;150D;Fahrstatistik Max/Ø;20;3;–;00-08-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
16522;1786898780235;1502;Akkuinformationen;16;4;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
16940;1786898780653;1505;BikePerformance / Fahrleistung;18;4;7;00-00-00-00-FF-FF-00-01-FF-FF-FF-FF-FF-00-00-00-00-00
17140;1786898780853;1506;Trip / Kilometer & Betriebszähler;16;4;–;00-00-1B-AB-00-02-25-B1-00-00-02-C4-00-00-00-00
17559;1786898781272;1508;Settings / Licht & Fahrstufe;17;4;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
17771;1786898781484;1509;BatteryChange / Akku-Livestand;11;4;–;00-00-FF-FF-4B-C5-44-00-00-00-00
17975;1786898781688;150A;MotorUpdate / Motor-Livestand;10;4;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
18187;1786898781900;150B;Motor-/Controllerblock;20;4;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
18393;1786898782106;150D;Fahrstatistik Max/Ø;20;4;–;00-08-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
19437;1786898783150;1502;Akkuinformationen;16;5;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
19852;1786898783565;1505;BikePerformance / Fahrleistung;18;5;7;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
20067;1786898783780;1506;Trip / Kilometer & Betriebszähler;16;5;7;00-00-1B-AB-00-02-25-B3-00-00-02-C4-00-00-00-00
20482;1786898784195;1508;Settings / Licht & Fahrstufe;17;5;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
20684;1786898784397;1509;BatteryChange / Akku-Livestand;11;5;–;00-00-FF-FF-4B-C5-44-00-00-00-00
20900;1786898784613;150A;MotorUpdate / Motor-Livestand;10;5;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
21112;1786898784825;150B;Motor-/Controllerblock;20;5;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
21315;1786898785028;150D;Fahrstatistik Max/Ø;20;5;1;00-09-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
22563;1786898786276;1502;Akkuinformationen;16;6;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
22982;1786898786695;1505;BikePerformance / Fahrleistung;18;6;7;00-00-00-00-FF-FF-00-04-FF-FF-FF-FF-FF-00-00-00-00-00
23194;1786898786907;1506;Trip / Kilometer & Betriebszähler;16;6;7;00-00-1B-AB-00-02-25-B7-00-00-02-C4-00-00-00-00
23611;1786898787324;1508;Settings / Licht & Fahrstufe;17;6;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
23812;1786898787525;1509;BatteryChange / Akku-Livestand;11;6;–;00-00-FF-FF-4B-C5-44-00-00-00-00
24027;1786898787740;150A;MotorUpdate / Motor-Livestand;10;6;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
24241;1786898787954;150B;Motor-/Controllerblock;20;6;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
24445;1786898788158;150D;Fahrstatistik Max/Ø;20;6;1;00-0B-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
25489;1786898789202;1502;Akkuinformationen;16;7;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
25904;1786898789617;1505;BikePerformance / Fahrleistung;18;7;7;00-00-00-00-FF-FF-00-05-FF-FF-FF-FF-FF-00-00-00-00-00
26119;1786898789832;1506;Trip / Kilometer & Betriebszähler;16;7;7;00-00-1B-AB-00-02-25-B9-00-00-02-C4-00-00-00-00
26534;1786898790247;1508;Settings / Licht & Fahrstufe;17;7;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
26738;1786898790451;1509;BatteryChange / Akku-Livestand;11;7;–;00-00-FF-FF-4B-C5-44-00-00-00-00
26951;1786898790664;150A;MotorUpdate / Motor-Livestand;10;7;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
27153;1786898790866;150B;Motor-/Controllerblock;20;7;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
27369;1786898791082;150D;Fahrstatistik Max/Ø;20;7;–;00-0B-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
28402;1786898792115;1502;Akkuinformationen;16;8;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
28829;1786898792542;1505;BikePerformance / Fahrleistung;18;8;7;00-00-00-00-FF-FF-00-0B-FF-FF-FF-FF-FF-00-00-00-00-00
29031;1786898792744;1506;Trip / Kilometer & Betriebszähler;16;8;7;00-00-1B-AB-00-02-25-BC-00-00-02-C4-00-00-00-00
29449;1786898793162;1508;Settings / Licht & Fahrstufe;17;8;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
29662;1786898793375;1509;BatteryChange / Akku-Livestand;11;8;6;00-00-FF-FF-4B-C5-A8-00-00-00-00
29865;1786898793578;150A;MotorUpdate / Motor-Livestand;10;8;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
30080;1786898793793;150B;Motor-/Controllerblock;20;8;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
30281;1786898793994;150D;Fahrstatistik Max/Ø;20;8;1,2,3,8,9,18,19;00-00-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
31330;1786898795043;1502;Akkuinformationen;16;9;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
31745;1786898795458;1505;BikePerformance / Fahrleistung;18;9;7;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
31959;1786898795672;1506;Trip / Kilometer & Betriebszähler;16;9;7;00-00-1B-AB-00-02-25-BE-00-00-02-C4-00-00-00-00
32377;1786898796090;1508;Settings / Licht & Fahrstufe;17;9;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
32578;1786898796291;1509;BatteryChange / Akku-Livestand;11;9;6;00-00-FF-FF-4B-C5-44-00-00-00-00
32790;1786898796503;150A;MotorUpdate / Motor-Livestand;10;9;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
32995;1786898796708;150B;Motor-/Controllerblock;20;9;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
33206;1786898796919;150D;Fahrstatistik Max/Ø;20;9;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
34257;1786898797970;1502;Akkuinformationen;16;10;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
34672;1786898798385;1505;BikePerformance / Fahrleistung;18;10;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
34875;1786898798588;1506;Trip / Kilometer & Betriebszähler;16;10;–;00-00-1B-AB-00-02-25-BE-00-00-02-C4-00-00-00-00
35289;1786898799002;1508;Settings / Licht & Fahrstufe;17;10;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
35501;1786898799214;1509;BatteryChange / Akku-Livestand;11;10;–;00-00-FF-FF-4B-C5-44-00-00-00-00
35705;1786898799418;150A;MotorUpdate / Motor-Livestand;10;10;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
35921;1786898799634;150B;Motor-/Controllerblock;20;10;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
36135;1786898799848;150D;Fahrstatistik Max/Ø;20;10;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
37167;1786898800880;1502;Akkuinformationen;16;11;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
37607;1786898801320;1505;BikePerformance / Fahrleistung;18;11;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
37796;1786898801509;1506;Trip / Kilometer & Betriebszähler;16;11;–;00-00-1B-AB-00-02-25-BE-00-00-02-C4-00-00-00-00
38212;1786898801925;1508;Settings / Licht & Fahrstufe;17;11;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
38415;1786898802128;1509;BatteryChange / Akku-Livestand;11;11;–;00-00-FF-FF-4B-C5-44-00-00-00-00
38628;1786898802341;150A;MotorUpdate / Motor-Livestand;10;11;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
38844;1786898802557;150B;Motor-/Controllerblock;20;11;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
39044;1786898802757;150D;Fahrstatistik Max/Ø;20;11;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
40091;1786898803804;1502;Akkuinformationen;16;12;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
40507;1786898804220;1505;BikePerformance / Fahrleistung;18;12;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
40721;1786898804434;1506;Trip / Kilometer & Betriebszähler;16;12;–;00-00-1B-AB-00-02-25-BE-00-00-02-C4-00-00-00-00
41137;1786898804850;1508;Settings / Licht & Fahrstufe;17;12;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
41340;1786898805053;1509;BatteryChange / Akku-Livestand;11;12;–;00-00-FF-FF-4B-C5-44-00-00-00-00
41554;1786898805267;150A;MotorUpdate / Motor-Livestand;10;12;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
41760;1786898805473;150B;Motor-/Controllerblock;20;12;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
41970;1786898805683;150D;Fahrstatistik Max/Ø;20;12;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
43004;1786898806717;1502;Akkuinformationen;16;13;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
43432;1786898807145;1505;BikePerformance / Fahrleistung;18;13;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
43634;1786898807347;1506;Trip / Kilometer & Betriebszähler;16;13;–;00-00-1B-AB-00-02-25-BE-00-00-02-C4-00-00-00-00
44052;1786898807765;1508;Settings / Licht & Fahrstufe;17;13;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
44264;1786898807977;1509;BatteryChange / Akku-Livestand;11;13;–;00-00-FF-FF-4B-C5-44-00-00-00-00
44478;1786898808191;150A;MotorUpdate / Motor-Livestand;10;13;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
44682;1786898808395;150B;Motor-/Controllerblock;20;13;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
44883;1786898808596;150D;Fahrstatistik Max/Ø;20;13;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
45931;1786898809644;1502;Akkuinformationen;16;14;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
46348;1786898810061;1505;BikePerformance / Fahrleistung;18;14;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
46561;1786898810274;1506;Trip / Kilometer & Betriebszähler;16;14;–;00-00-1B-AB-00-02-25-BE-00-00-02-C4-00-00-00-00
46976;1786898810689;1508;Settings / Licht & Fahrstufe;17;14;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
47179;1786898810892;1509;BatteryChange / Akku-Livestand;11;14;–;00-00-FF-FF-4B-C5-44-00-00-00-00
47395;1786898811108;150A;MotorUpdate / Motor-Livestand;10;14;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
47594;1786898811307;150B;Motor-/Controllerblock;20;14;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
47811;1786898811524;150D;Fahrstatistik Max/Ø;20;14;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
48855;1786898812568;1502;Akkuinformationen;16;15;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
49271;1786898812984;1505;BikePerformance / Fahrleistung;18;15;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
49473;1786898813186;1506;Trip / Kilometer & Betriebszähler;16;15;–;00-00-1B-AB-00-02-25-BE-00-00-02-C4-00-00-00-00
49890;1786898813603;1508;Settings / Licht & Fahrstufe;17;15;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
50104;1786898813817;1509;BatteryChange / Akku-Livestand;11;15;–;00-00-FF-FF-4B-C5-44-00-00-00-00
50305;1786898814018;150A;MotorUpdate / Motor-Livestand;10;15;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
50522;1786898814235;150B;Motor-/Controllerblock;20;15;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
50733;1786898814446;150D;Fahrstatistik Max/Ø;20;15;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
51768;1786898815481;1502;Akkuinformationen;16;16;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
52186;1786898815899;1505;BikePerformance / Fahrleistung;18;16;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
52400;1786898816113;1506;Trip / Kilometer & Betriebszähler;16;16;–;00-00-1B-AB-00-02-25-BE-00-00-02-C4-00-00-00-00
52817;1786898816530;1508;Settings / Licht & Fahrstufe;17;16;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
53029;1786898816742;1509;BatteryChange / Akku-Livestand;11;16;–;00-00-FF-FF-4B-C5-44-00-00-00-00
53231;1786898816944;150A;MotorUpdate / Motor-Livestand;10;16;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
53445;1786898817158;150B;Motor-/Controllerblock;20;16;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
53649;1786898817362;150D;Fahrstatistik Max/Ø;20;16;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
54693;1786898818406;1502;Akkuinformationen;16;17;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
55109;1786898818822;1505;BikePerformance / Fahrleistung;18;17;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
55337;1786898819050;1506;Trip / Kilometer & Betriebszähler;16;17;–;00-00-1B-AB-00-02-25-BE-00-00-02-C4-00-00-00-00
55752;1786898819465;1508;Settings / Licht & Fahrstufe;17;17;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
55946;1786898819659;1509;BatteryChange / Akku-Livestand;11;17;–;00-00-FF-FF-4B-C5-44-00-00-00-00
56159;1786898819872;150A;MotorUpdate / Motor-Livestand;10;17;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
56360;1786898820073;150B;Motor-/Controllerblock;20;17;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
56576;1786898820289;150D;Fahrstatistik Max/Ø;20;17;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
57617;1786898821330;1502;Akkuinformationen;16;18;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
58034;1786898821747;1505;BikePerformance / Fahrleistung;18;18;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
58249;1786898821962;1506;Trip / Kilometer & Betriebszähler;16;18;–;00-00-1B-AB-00-02-25-BE-00-00-02-C4-00-00-00-00
58664;1786898822377;1508;Settings / Licht & Fahrstufe;17;18;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
58869;1786898822582;1509;BatteryChange / Akku-Livestand;11;18;–;00-00-FF-FF-4B-C5-44-00-00-00-00
59069;1786898822782;150A;MotorUpdate / Motor-Livestand;10;18;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
59283;1786898822996;150B;Motor-/Controllerblock;20;18;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
59497;1786898823210;150D;Fahrstatistik Max/Ø;20;18;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
60533;1786898824246;1502;Akkuinformationen;16;19;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
60949;1786898824662;1505;BikePerformance / Fahrleistung;18;19;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
61174;1786898824887;1506;Trip / Kilometer & Betriebszähler;16;19;–;00-00-1B-AB-00-02-25-BE-00-00-02-C4-00-00-00-00
61581;1786898825294;1508;Settings / Licht & Fahrstufe;17;19;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
61783;1786898825496;1509;BatteryChange / Akku-Livestand;11;19;–;00-00-FF-FF-4B-C5-44-00-00-00-00
61997;1786898825710;150A;MotorUpdate / Motor-Livestand;10;19;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
62209;1786898825922;150B;Motor-/Controllerblock;20;19;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
62422;1786898826135;150D;Fahrstatistik Max/Ø;20;19;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
63457;1786898827170;1502;Akkuinformationen;16;20;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
63873;1786898827586;1505;BikePerformance / Fahrleistung;18;20;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
64087;1786898827800;1506;Trip / Kilometer & Betriebszähler;16;20;–;00-00-1B-AB-00-02-25-BE-00-00-02-C4-00-00-00-00
64503;1786898828216;1508;Settings / Licht & Fahrstufe;17;20;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
64706;1786898828419;1509;BatteryChange / Akku-Livestand;11;20;–;00-00-FF-FF-4B-C5-44-00-00-00-00
64919;1786898828632;150A;MotorUpdate / Motor-Livestand;10;20;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
65122;1786898828835;150B;Motor-/Controllerblock;20;20;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
65336;1786898829049;150D;Fahrstatistik Max/Ø;20;20;1,2,3,8,9,18,19;00-0E-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
66371;1786898830084;1502;Akkuinformationen;16;21;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
66801;1786898830514;1505;BikePerformance / Fahrleistung;18;21;7;00-00-00-00-FF-FF-00-2A-FF-FF-FF-FF-FF-00-00-00-00-00
67005;1786898830718;1506;Trip / Kilometer & Betriebszähler;16;21;7;00-00-1B-AB-00-02-25-C1-00-00-02-C4-00-00-00-00
67420;1786898831133;1508;Settings / Licht & Fahrstufe;17;21;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
67630;1786898831343;1509;BatteryChange / Akku-Livestand;11;21;0,1,5,6,10;03-E8-FF-FF-4B-C4-7C-00-00-00-32
67834;1786898831547;150A;MotorUpdate / Motor-Livestand;10;21;0,1;17-70-FF-FF-FF-FF-FF-FF-FF-FF
68048;1786898831761;150B;Motor-/Controllerblock;20;21;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
68250;1786898831963;150D;Fahrstatistik Max/Ø;20;21;1;00-56-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
69299;1786898833012;1502;Akkuinformationen;16;22;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
69715;1786898833428;1505;BikePerformance / Fahrleistung;18;22;0,1,2,3,7;13-24-13-24-FF-FF-00-5A-FF-FF-FF-FF-FF-00-00-00-00-00
69928;1786898833641;1506;Trip / Kilometer & Betriebszähler;16;22;7;00-00-1B-AB-00-02-25-C4-00-00-02-C4-00-00-00-00
70344;1786898834057;1508;Settings / Licht & Fahrstufe;17;22;–;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
