relative_ms;timestamp_ms;speed_kmh_candidate;battery_percent_raw;battery_percent_stable;battery_stability;voltage_v;current_a;power_w;electrical_power_w;power_provenance;motor_temp_c;battery_temp_c;trip_km;odometer_km;speed_raw_1505_u16be_b6_b7;motor_load_raw_be;light_state_1508_b0;ride_mode_1508_b3;start_mode_1508_b11;source_channel
178;1787866171087;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1505
388;1787866171297;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1506
807;1787866171716;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1508
1019;1787866171928;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct;;;0.0;736.1;0;0;1;2;0;1509
1228;1787866172137;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150A
1438;1787866172347;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150B
1638;1787866172547;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150D
2686;1787866173595;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1502
3107;1787866174016;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1505
3307;1787866174216;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1506
3728;1787866174637;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1508
3937;1787866174846;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct;;;0.0;736.1;0;0;1;2;0;1509
4149;1787866175058;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150A
4357;1787866175266;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150B
4568;1787866175477;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150D
5607;1787866176516;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1502
6030;1787866176939;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1505
6238;1787866177147;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1506
6649;1787866177558;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1508
6857;1787866177766;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct;;;0.0;736.1;0;0;1;2;0;1509
7069;1787866177978;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150A
7277;1787866178186;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150B
7495;1787866178404;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150D
8529;1787866179438;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1502
8950;1787866179859;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1505
9171;1787866180080;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1506
9579;1787866180488;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1508
9780;1787866180689;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct;;;0.0;736.1;0;0;1;2;0;1509
9989;1787866180898;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150A
10201;1787866181110;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150B
10412;1787866181321;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150D
11450;1787866182359;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1502
11869;1787866182778;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1505
12083;1787866182992;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1506
12502;1787866183411;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1508
12710;1787866183619;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct;;;0.0;736.1;0;0;1;2;0;1509
12919;1787866183828;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150A
13130;1787866184039;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150B
13332;1787866184241;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150D
14381;1787866185290;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1502
14789;1787866185698;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1505
14997;1787866185906;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1506
15418;1787866186327;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1508
15629;1787866186538;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct;;;0.0;736.1;0;0;1;2;0;1509
15845;1787866186754;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150A
16048;1787866186957;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150B
16259;1787866187168;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150D
17300;1787866188209;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1502
17719;1787866188628;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1505
17927;1787866188836;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1506
18338;1787866189247;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1508
18550;1787866189459;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct;;;0.0;736.1;0;0;1;2;0;1509
18763;1787866189672;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150A
18971;1787866189880;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150B
19183;1787866190092;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150D
20218;1787866191127;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1502
20639;1787866191548;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1505
20851;1787866191760;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1506
21271;1787866192180;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1508
21471;1787866192380;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct;;;0.0;736.1;0;0;1;2;0;1509
21683;1787866192592;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150A
21889;1787866192798;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150B
22098;1787866193007;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150D
23144;1787866194053;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1502
23560;1787866194469;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1505
23769;1787866194678;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1506
24188;1787866195097;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1508
24399;1787866195308;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct;;;0.0;736.1;0;0;1;2;0;1509
24600;1787866195509;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150A
24810;1787866195719;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150B
25022;1787866195931;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150D
26071;1787866196980;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1502
26492;1787866197401;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1505
26691;1787866197600;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1506
27112;1787866198021;0.0;64;64;STABLE;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1508
27318;1787866198227;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct;;;0.0;736.1;0;0;1;2;0;1509
27529;1787866198438;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150A
27737;1787866198646;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150B
27950;1787866198859;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150D
28992;1787866199901;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1502
29411;1787866200320;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1505
29620;1787866200529;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1506
30031;1787866200940;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1508
30240;1787866201149;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct;;;0.0;736.1;0;0;1;2;0;1509
30454;1787866201363;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150A
30660;1787866201569;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150B
30870;1787866201779;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;150D
31913;1787866202822;0.0;64;64;WAITING_FOR_REST;49.7;0.0;0.0;0.0;1509_direct_carried;;;0.0;736.1;0;0;1;2;0;1502
