relative_ms;timestamp_ms;speed_kmh_candidate;battery_percent;voltage_v;current_a;power_w;electrical_power_w;power_provenance;motor_temp_c;battery_temp_c;trip_km;odometer_km;drive_raw_1505_b7;motor_load_raw_be;battery_state_raw_1509_b6;accessory_raw_b0;accessory_raw_b3;source_channel
8527;1787221623544;;;;;;;;;;;;;;;;;1502
9143;1787221624160;;;;;;;;;;;712.2;;;;;;1506
9567;1787221624584;;;;;;;;;;;712.2;;;;0;1;1508
9783;1787221624800;;64;49.3;0.0;0.0;0.0;1509_direct;;;;712.2;;0;;0;1;1509
9985;1787221625002;;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;;0;;0;1;150A
10196;1787221625213;;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;;0;;0;1;150B
10408;1787221625425;;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;;0;;0;1;150D
11446;1787221626463;;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;;0;;0;1;1502
11855;1787221626872;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;1505
12067;1787221627084;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;1506
12485;1787221627502;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;1508
12697;1787221627714;0.0;64;49.3;0.0;0.0;0.0;1509_direct;;;;712.2;0;0;;0;1;1509
12906;1787221627923;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;150A
13119;1787221628136;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;150B
13326;1787221628343;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;150D
14367;1787221629384;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;1502
14784;1787221629801;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;1505
14986;1787221630003;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;1506
15409;1787221630426;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;1508
15618;1787221630635;0.0;64;49.3;0.0;0.0;0.0;1509_direct;;;;712.2;0;0;;0;1;1509
15841;1787221630858;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;150A
16035;1787221631052;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;150B
16249;1787221631266;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;150D
17285;1787221632302;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;1502
17709;1787221632726;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;1505
17916;1787221632933;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;1506
18327;1787221633344;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;1508
18537;1787221633554;0.0;64;49.3;0.0;0.0;0.0;1509_direct;;;;712.2;0;0;;0;1;1509
18745;1787221633762;0.0;64;49.3;0.0;0.0;0.0;1509_direct_carried;;;;712.2;0;0;;0;1;150A
