relative_ms;timestamp_ms;marker
0;1787069978185;START
2529;1787069980714;BLE getrennt • RAW 0 gesichert
3202;1787069981387;BLE-Link wieder verbunden • Messfahrtdaten erhalten
8541;1787069986726;Telemetrie wieder aktiv
250029;1787070228214;STOP
