relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;origin;connection_epoch
1786;1786911165082;1502;Akkuinformationen;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;0
1853;1786911165149;1505;BikePerformance / Fahrleistung;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;0
1876;1786911165172;1506;Trip / Kilometer & Betriebszähler;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;00-00-1B-B3-00-02-26-7B-00-00-02-C5-00-00-00-00;NOTIFICATION;0
1931;1786911165227;1508;Settings / Licht & Fahrstufe;17;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;0
1954;1786911165250;1509;BatteryChange / Akku-Livestand;11;1;0,1,2,3,4,5,6,7,8,9,10;00-00-FF-FF-4A-C4-7C-00-00-00-00;NOTIFICATION;0
1987;1786911165283;150A;MotorUpdate / Motor-Livestand;10;1;0,1,2,3,4,5,6,7,8,9;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;0
2022;1786911165318;150B;Motor-/Controllerblock;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;0
2044;1786911165340;150D;Fahrstatistik Max/Ø;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;0
8608;1786911171904;1502;Akkuinformationen;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
9021;1786911172317;1505;BikePerformance / Fahrleistung;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
9223;1786911172519;1506;Trip / Kilometer & Betriebszähler;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;00-00-1B-B3-00-02-26-7B-00-00-02-C5-00-00-00-00;NOTIFICATION;1
9651;1786911172947;1508;Settings / Licht & Fahrstufe;17;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
9853;1786911173149;1509;BatteryChange / Akku-Livestand;11;1;0,1,2,3,4,5,6,7,8,9,10;00-00-FF-FF-4B-C4-7C-00-00-00-00;NOTIFICATION;1
10067;1786911173363;150A;MotorUpdate / Motor-Livestand;10;1;0,1,2,3,4,5,6,7,8,9;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
