relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex
984532;1786646562902;2A00;Unbekannter Kanal;24;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23;42-54-36-33-38-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
985185;1786646563555;2A01;Unbekannter Kanal;2;1;0,1;00-00
985847;1786646564217;2A02;Unbekannter Kanal;2;1;0,1;00-00
986502;1786646564872;2A04;Unbekannter Kanal;8;1;0,1,2,3,4,5,6,7;14-00-28-00-00-00-E8-03
986504;1786646564874;1502;Akkuinformationen;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
986918;1786646565288;1505;BikePerformance / Fahrleistung;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
987141;1786646565511;1506;Trip / Kilometer & Betriebszähler;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;00-00-1B-A6-00-02-25-1B-00-00-02-C3-00-00-00-00
987153;1786646565523;2A28;Unbekannter Kanal;10;1;0,1,2,3,4,5,6,7,8,9;53-30-34-2E-30-31-2E-31-31-00
987548;1786646565918;1508;Settings / Licht & Fahrstufe;17;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;00-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
987763;1786646566133;1509;BatteryChange / Akku-Livestand;11;1;0,1,2,3,4,5,6,7,8,9,10;00-00-FF-FF-4B-C5-A8-00-00-00-00
987806;1786646566176;1501;Fahrzeuginformationen;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;01-02-FF-FF-FF-FF-00-FF-FF-0A-00-00-00-03-00-00-00-00
987964;1786646566334;150A;MotorUpdate / Motor-Livestand;10;1;0,1,2,3,4,5,6,7,8,9;00-00-FF-FF-FF-FF-FF-FF-FF-FF
988192;1786646566562;150B;Motor-/Controllerblock;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
988383;1786646566753;150D;Zweite Fahrstatistik;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;00-DA-00-CC-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
988457;1786646566827;1502;Akkuinformationen;16;2;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
989110;1786646567480;1503;Motor-/Controllerinformationen;2;1;0,1;00-00
989438;1786646567808;1502;Akkuinformationen;16;3;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
