timestamp_ms;scan_id;record_kind;outcome;callback_received;service_uuid;characteristic_uuid;short_id;properties;properties_raw;status;length;hex;payload_valid;payload_sha256;public_redaction;connection_epoch;measurement_connection_epoch;rssi;evidence;meaning
1787410355472;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;da1a1500-d532-4285-be94-b07a3e11a098;da1a1508-d532-4285-be94-b07a3e11a098;1508;READ|NOTIFY;18;0;16;00-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00;true;f06b9ae973cc09b50f0f48440c6e96db1c470f58af483b680eaa586561bcf258;;3;;;BT638 bestätigt;Settings-naher Kanal mit bestätigten Zuständen für Licht und Fahrmodus.
1787410355495;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;da1a1500-d532-4285-be94-b07a3e11a098;da1a150b-d532-4285-be94-b07a3e11a098;150B;READ|NOTIFY;18;0;20;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;true;9a8dcd3f9ff7aa3114e141f03c12989d363ea81fd74c02eea63c5f41489cb17a;;3;;;BT638 beobachtet;Bisher überwiegend Platzhalterdaten.
1787410355525;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;da1a1500-d532-4285-be94-b07a3e11a098;da1a150d-d532-4285-be94-b07a3e11a098;150D;READ|NOTIFY;18;0;20;01-1B-00-BD-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;true;240cd90354ac8fdd97894adb845df132e467a4f69c49985df6e405d205eba596;;3;;;BT638 bestätigt;"Persistente Fahrstatistik mit Maximum und Durchschnitt; kein Live-Tempo."
1787410355542;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;da1a1500-d532-4285-be94-b07a3e11a098;da1a150e-d532-4285-be94-b07a3e11a098;150E;READ;2;0;20;FF-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00;true;eb28e6a4b4ab077e254dae82e43e6913ab94d5b5fc3ab7623dbf11b1f4d3c886;;3;;;BT638 beobachtet;"Am BT638 entdeckt; Bedeutung offen."
1787410355574;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;da1a1500-d532-4285-be94-b07a3e11a098;da1a150f-d532-4285-be94-b07a3e11a098;150F;READ;2;0;20;FF-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00;true;eb28e6a4b4ab077e254dae82e43e6913ab94d5b5fc3ab7623dbf11b1f4d3c886;;3;;;BT638 beobachtet;"Am BT638 entdeckt; Bedeutung offen."
1787410355594;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;da1a1500-d532-4285-be94-b07a3e11a098;da1a1510-d532-4285-be94-b07a3e11a098;1510;READ;2;0;20;FF-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00;true;eb28e6a4b4ab077e254dae82e43e6913ab94d5b5fc3ab7623dbf11b1f4d3c886;;3;;;BT638 beobachtet;"Am BT638 entdeckt; Bedeutung offen."
1787410355614;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;da1a1500-d532-4285-be94-b07a3e11a098;da1a1511-d532-4285-be94-b07a3e11a098;1511;READ;2;0;20;;true;ddbb9244acf8127793a84541964b8caae120eaef045f4f997bbdaa6a2295bb67;identity_or_free_form;3;;;BT638 beobachtet;REDACTED_IDENTITY_OR_FREE_FORM
1787410355633;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;da1a1500-d532-4285-be94-b07a3e11a098;da1a1512-d532-4285-be94-b07a3e11a098;1512;READ;2;0;20;FF-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00;true;eb28e6a4b4ab077e254dae82e43e6913ab94d5b5fc3ab7623dbf11b1f4d3c886;;3;;;BT638 beobachtet;"Am BT638 entdeckt; Bedeutung offen."
1787410355652;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;da1a1500-d532-4285-be94-b07a3e11a098;da1a1513-d532-4285-be94-b07a3e11a098;1513;READ;2;0;20;;true;ddbb9244acf8127793a84541964b8caae120eaef045f4f997bbdaa6a2295bb67;identity_or_free_form;3;;;BT638 beobachtet;REDACTED_IDENTITY_OR_FREE_FORM
1787410355673;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;da1a1500-d532-4285-be94-b07a3e11a098;da1a151c-d532-4285-be94-b07a3e11a098;151C;READ;2;0;10;FF-00-00-00-00-00-00-00-00-00;true;1d9d37968d88175bae6bd9bfbc24c2f4aab55e364229dff16d8929fe8ab962bb;;3;;;BT638 beobachtet;"Am BT638 entdeckt; Bedeutung offen."
1787410355693;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;da1a1800-d532-4285-be94-b07a3e11a098;da1a1802-d532-4285-be94-b07a3e11a098;1802;READ;2;0;20;0F-02-31-2E-30-2E-32-00-00-00-00-00-00-00-00-00-00-00-00-00;true;d13909bfd1b7085dc3b93e4c70448a63b5c0ae381203da79c45a2e2c94647fb1;;3;;;BT638 beobachtet;"Am BT638 entdeckt; Firmware-/Hardwarefamilie möglich."
1787410355723;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;00001800-0000-1000-8000-00805f9b34fb;00002a00-0000-1000-8000-00805f9b34fb;2A00;READ|NOTIFY;18;0;24;;true;76e372406e5a71538c6e4894bba3797f594705e594733a2bb81339ed5e7403a8;identity_or_free_form;3;;;Bluetooth-Standard;REDACTED_IDENTITY_OR_FREE_FORM
1787410355742;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;00001800-0000-1000-8000-00805f9b34fb;00002a01-0000-1000-8000-00805f9b34fb;2A01;READ;2;0;2;00-00;true;96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7;;3;;;Bluetooth-Standard;Appearance
1787410355776;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;00001800-0000-1000-8000-00805f9b34fb;00002a02-0000-1000-8000-00805f9b34fb;2A02;READ;2;0;2;00-00;true;96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7;;3;;;Bluetooth-Standard;Peripheral Privacy Flag
1787410355801;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;00001800-0000-1000-8000-00805f9b34fb;00002a04-0000-1000-8000-00805f9b34fb;2A04;READ;2;0;8;14-00-28-00-00-00-E8-03;true;8ee55cb630f6fb40848aecd40d31b8f1424e54a5290544cce71e4f8c6b5cccfd;;3;;;Bluetooth-Standard;Peripheral Preferred Connection Parameters
1787410355823;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;00001800-0000-1000-8000-00805f9b34fb;00002a28-0000-1000-8000-00805f9b34fb;2A28;READ;2;0;10;;true;065d10ab6f3c497c3209251b654ac005a7f67238063fbfcf96d99fbc93d910b5;identity_or_free_form;3;;;Bluetooth-Standard;REDACTED_IDENTITY_OR_FREE_FORM
1787410355842;scan-1787410355190-e3-efdc31d2e193;GATT_READ_CALLBACK;CALLBACK_SUCCESS;true;00001801-0000-1000-8000-00805f9b34fb;00002a05-0000-1000-8000-00805f9b34fb;2A05;READ|WRITE|NOTIFY|INDICATE|BROADCAST;123;0;4;00-00-00-00;true;df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119;;3;;;Bluetooth-Standard;Service Changed
1787410355843;scan-1787410355190-e3-efdc31d2e193;CONNECTION_EVENT;SCAN_COMPLETED;false;;;EVENT;-;0;;0;;false;;;3;;;BT638 beobachtet;Sequential PROPERTY_READ scan completed
