relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex
16347;1786831783076;1506;Trip / Kilometer & Betriebszähler;16;5;–;00-00-1B-A9-00-02-25-6C-00-00-02-C4-00-00-00-00
16750;1786831783479;1508;Settings / Licht & Fahrstufe;17;5;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
16964;1786831783693;1509;BatteryChange / Akku-Livestand;11;5;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
17169;1786831783898;150A;MotorUpdate / Motor-Livestand;10;5;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
17383;1786831784112;150B;Motor-/Controllerblock;20;5;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
17588;1786831784317;150D;Fahrstatistik Max/Ø;20;5;–;00-14-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
18750;1786831785479;1502;Akkuinformationen;16;6;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
19304;1786831786033;1505;BikePerformance / Fahrleistung;18;6;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00
19464;1786831786193;1506;Trip / Kilometer & Betriebszähler;16;6;–;00-00-1B-A9-00-02-25-6C-00-00-02-C4-00-00-00-00
19990;1786831786719;1508;Settings / Licht & Fahrstufe;17;6;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
20079;1786831786808;1509;BatteryChange / Akku-Livestand;11;6;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
20364;1786831787093;150A;MotorUpdate / Motor-Livestand;10;6;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
20510;1786831787239;150B;Motor-/Controllerblock;20;6;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF
20758;1786831787487;150D;Fahrstatistik Max/Ø;20;6;–;00-14-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00
21833;1786831788562;1502;Akkuinformationen;16;7;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00
22234;1786831788963;1505;BikePerformance / Fahrleistung;18;7;7;00-00-00-00-FF-FF-00-04-FF-FF-FF-FF-FF-00-00-00-00-00
22377;1786831789106;1506;Trip / Kilometer & Betriebszähler;16;7;–;00-00-1B-A9-00-02-25-6C-00-00-02-C4-00-00-00-00
22880;1786831789609;1508;Settings / Licht & Fahrstufe;17;7;–;01-00-00-02-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00
23005;1786831789734;1509;BatteryChange / Akku-Livestand;11;7;–;00-00-FF-FF-4B-C6-0C-00-00-00-00
23210;1786831789939;150A;MotorUpdate / Motor-Livestand;10;7;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF
