relative_ms;timestamp_ms;marker
0;1787682307885;START
3304;1787682311189;BLE getrennt • RAW 0 gesichert
4034;1787682311919;BLE-Link wieder verbunden • Messfahrtdaten erhalten
9382;1787682317267;Telemetrie wieder aktiv
638351;1787682946236;STOP
