relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;payload_sha256;public_redaction
1434;1786820946999;2A05;Unbekannter Kanal;4;1;0,1,2,3;00-00-00-00;;
2062;1786820947627;1502;Akkuinformationen;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
2083;1786820947648;2A00;Unbekannter Kanal;24;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23;;76e372406e5a71538c6e4894bba3797f594705e594733a2bb81339ed5e7403a8;identity_or_free_form
2129;1786820947694;1505;BikePerformance / Fahrleistung;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
2152;1786820947717;1506;Trip / Kilometer & Betriebszähler;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;00-00-1B-A6-00-02-25-0B-00-00-02-C3-00-00-00-00;;
2219;1786820947784;1508;Settings / Licht & Fahrstufe;17;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;01-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
2239;1786820947804;1509;BatteryChange / Akku-Livestand;11;1;0,1,2,3,4,5,6,7,8,9,10;00-00-FF-FF-4A-C6-70-00-00-00-00;;
2272;1786820947837;150A;MotorUpdate / Motor-Livestand;10;1;0,1,2,3,4,5,6,7,8,9;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
2306;1786820947871;150B;Motor-/Controllerblock;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;;
2328;1786820947893;150D;Zweite Fahrstatistik;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;00-00-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;;
5783;1786820951348;2A00;Unbekannter Kanal;24;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23;;76e372406e5a71538c6e4894bba3797f594705e594733a2bb81339ed5e7403a8;identity_or_free_form
6446;1786820952011;2A01;Unbekannter Kanal;2;1;0,1;00-00;;
7088;1786820952653;2A02;Unbekannter Kanal;2;1;0,1;00-00;;
