relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;payload_sha256;public_redaction
8666;1786641442689;2A00;Unbekannter Kanal;24;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23;;76e372406e5a71538c6e4894bba3797f594705e594733a2bb81339ed5e7403a8;identity_or_free_form
9330;1786641443353;2A01;Unbekannter Kanal;2;1;0,1;00-00;;
9984;1786641444007;2A02;Unbekannter Kanal;2;1;0,1;00-00;;
10622;1786641444645;2A04;Unbekannter Kanal;8;1;0,1,2,3,4,5,6,7;14-00-28-00-00-00-E8-03;;
10646;1786641444669;1502;Akkuinformationen;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;;
11065;1786641445088;1505;BikePerformance / Fahrleistung;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;;
11264;1786641445287;1506;Trip / Kilometer & Betriebszähler;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;00-00-1B-55-00-02-1F-62-00-00-02-BB-00-00-00-00;;
11275;1786641445298;2A28;Unbekannter Kanal;10;1;0,1,2,3,4,5,6,7,8,9;;065d10ab6f3c497c3209251b654ac005a7f67238063fbfcf96d99fbc93d910b5;identity_or_free_form
11694;1786641445717;1508;Settings / Licht & Fahrstufe;17;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;00-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;;
11897;1786641445920;1509;BatteryChange / Akku-Livestand;11;1;0,1,2,3,4,5,6,7,8,9,10;00-00-FF-FF-64-CF-D0-00-00-00-00;;
11941;1786641445964;1501;Fahrzeuginformationen;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;01-02-FF-FF-FF-FF-00-FF-FF-0A-00-00-00-03-00-00-00-00;;
12110;1786641446133;150A;MotorUpdate / Motor-Livestand;10;1;0,1,2,3,4,5,6,7,8,9;00-00-FF-FF-FF-FF-FF-FF-FF-FF;;
