relative_ms;timestamp_ms;channel;meaning;length;packet_no;changed_bytes;hex;origin;connection_epoch
2184;1786991057469;1502;Akkuinformationen;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;0
2253;1786991057538;1505;BikePerformance / Fahrleistung;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;0
2273;1786991057558;1506;Trip / Kilometer & Betriebszähler;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;00-00-1B-C3-00-02-27-F8-00-00-02-C6-00-00-00-00;NOTIFICATION;0
2342;1786991057627;1508;Settings / Licht & Fahrstufe;17;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;00-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;0
2362;1786991057647;1509;BatteryChange / Akku-Livestand;11;1;0,1,2,3,4,5,6,7,8,9,10;00-00-FF-FF-45-C2-88-00-00-00-00;NOTIFICATION;0
2396;1786991057681;150A;MotorUpdate / Motor-Livestand;10;1;0,1,2,3,4,5,6,7,8,9;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;0
2430;1786991057715;150B;Motor-/Controllerblock;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;0
2453;1786991057738;150D;Fahrstatistik Max/Ø;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;00-01-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;0
8622;1786991063907;1502;Akkuinformationen;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
9036;1786991064321;1505;BikePerformance / Fahrleistung;18;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
9248;1786991064533;1506;Trip / Kilometer & Betriebszähler;16;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;00-00-1B-C3-00-02-27-F8-00-00-02-C6-00-00-00-00;NOTIFICATION;1
9665;1786991064950;1508;Settings / Licht & Fahrstufe;17;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;00-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
9867;1786991065152;1509;BatteryChange / Akku-Livestand;11;1;0,1,2,3,4,5,6,7,8,9,10;00-00-FF-FF-46-C2-88-00-00-00-00;NOTIFICATION;1
10083;1786991065368;150A;MotorUpdate / Motor-Livestand;10;1;0,1,2,3,4,5,6,7,8,9;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
10296;1786991065581;150B;Motor-/Controllerblock;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
10498;1786991065783;150D;Fahrstatistik Max/Ø;20;1;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;00-01-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
11544;1786991066829;1502;Akkuinformationen;16;2;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
11963;1786991067248;1505;BikePerformance / Fahrleistung;18;2;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
12163;1786991067448;1506;Trip / Kilometer & Betriebszähler;16;2;–;00-00-1B-C3-00-02-27-F8-00-00-02-C6-00-00-00-00;NOTIFICATION;1
12577;1786991067862;1508;Settings / Licht & Fahrstufe;17;2;–;00-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
12793;1786991068078;1509;BatteryChange / Akku-Livestand;11;2;–;00-00-FF-FF-46-C2-88-00-00-00-00;NOTIFICATION;1
12995;1786991068280;150A;MotorUpdate / Motor-Livestand;10;2;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
13209;1786991068494;150B;Motor-/Controllerblock;20;2;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
13413;1786991068698;150D;Fahrstatistik Max/Ø;20;2;–;00-01-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
14456;1786991069741;1502;Akkuinformationen;16;3;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
14876;1786991070161;1505;BikePerformance / Fahrleistung;18;3;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
15087;1786991070372;1506;Trip / Kilometer & Betriebszähler;16;3;–;00-00-1B-C3-00-02-27-F8-00-00-02-C6-00-00-00-00;NOTIFICATION;1
15505;1786991070790;1508;Settings / Licht & Fahrstufe;17;3;–;00-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
15707;1786991070992;1509;BatteryChange / Akku-Livestand;11;3;4;00-00-FF-FF-45-C2-88-00-00-00-00;NOTIFICATION;1
15925;1786991071210;150A;MotorUpdate / Motor-Livestand;10;3;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
16121;1786991071406;150B;Motor-/Controllerblock;20;3;–;FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
16337;1786991071622;150D;Fahrstatistik Max/Ø;20;3;1;00-04-00-00-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
17383;1786991072668;1502;Akkuinformationen;16;4;–;47-18-FF-FF-FF-FF-47-18-FF-FF-FF-FF-FF-FF-00-00;NOTIFICATION;1
17799;1786991073084;1505;BikePerformance / Fahrleistung;18;4;–;00-00-00-00-FF-FF-00-00-FF-FF-FF-FF-FF-00-00-00-00-00;NOTIFICATION;1
18004;1786991073289;1506;Trip / Kilometer & Betriebszähler;16;4;7;00-00-1B-C3-00-02-27-FA-00-00-02-C6-00-00-00-00;NOTIFICATION;1
18418;1786991073703;1508;Settings / Licht & Fahrstufe;17;4;–;00-00-00-01-FF-FF-FF-FF-FF-FF-FF-00-00-00-00-00-00;NOTIFICATION;1
18632;1786991073917;1509;BatteryChange / Akku-Livestand;11;4;4;00-00-FF-FF-46-C2-88-00-00-00-00;NOTIFICATION;1
18832;1786991074117;150A;MotorUpdate / Motor-Livestand;10;4;–;00-00-FF-FF-FF-FF-FF-FF-FF-FF;NOTIFICATION;1
