relative_ms;timestamp_ms;marker
0;1786991055285;START
2623;1786991057908;BLE getrennt • RAW 8 gesichert
3424;1786991058709;BLE-Link wieder verbunden • Messfahrtdaten erhalten
9037;1786991064322;Telemetrie wieder aktiv
693909;1786991749194;STOP
